code_nacre,description,emission,emission_factor
NA81,"CELLULES, VIRUS ET PETITS ORGANISMES HORS ANIMAUX",0.25,0.4
NA82,"KITS D'ISOLEMENT ET DE DETECTION DES CELLULES, VIRUS ET ORGANITES",0.4,0.12
NA83,BIOLOGIE CELLULAIRE : PRODUITS ET REACTIFS BIOCHIMIQUES (DE DOSAGE…),0.4,0.25
NA84,"BIOLOGIE CELLULAIRE : KITS DE DOSAGE, D'ESSAI FONCTIONNEL - KITS BIOCHIMIQUES",0.4,0.15
NA85,MICROBIOLOGIE : REACTIFS ET KITS BIOCHIMIQUES,0.4,0.1
NB01,"MICROPIPETTES MONO-CANAL, MULTI-CANAUX ET ACCESSOIRES",0.47,0.35
NB02,POINTES (CONES) POUR MICROPIPETTES MONO-CANAL ET MULTI-CANAUX,0.49,0.25
NB03,SERINGUES EN PLASTIQUE ET AIGUILLES,0.49,0.4
NB04,PIPETTES A USAGE UNIQUE,0.63,0.25
NB05,PIPETTES REUTILISABLES,0.63,2.5
NB11,"MICROTUBES, CRYOTUBES, TUBES A USAGE UNIQUE",0.42,0.4
NB12,PORTOIRS ET BOITES DE STOCKAGE POUR MICROTUBES,0.42,0.35
NB13,CULTURE CELLULAIRE EUCARYOTE : CONSOMMABLES EN PLASTIQUE SPECIFIQUES,0.42,0.6
NB14,BACTERIOLOGIE : CONSOMMABLES EN PLASTIQUE SPECIFIQUES,0.42,0.55
NB15,"MICROPLAQUES (PCR, HTS, ELISA…) HORS CULTURE CELLULAIRE ET FILTRATION",0.42,0.5
NB16,LAMES ET LAMELLES EN VERRE ET PLASTIQUE,0.6,0.7
NB17,AUTRES CONSOMMABLES EN PLASTIQUE ET EN VERRE HORS CULTURE CELL. ET BACTERIO,0.42,0.8
NB21,CONSOMMABLES DE CHROMATOGRAPHIE ET D'EXTRACTION NON DEDIES AUX INSTRUMENTS,0.61,0.9
NB22,ELECTROPHORESE SUR GEL : CONSOMMABLES NON DEDIES AUX INSTRUMENTS,0.61,1.1
NB23,MEMBRANES ET KITS POUR LE TRANSFERT D'ACIDES NUCLEIQUES ET DES PROTEINES (BLOT),0.61,1.5
NB24,CONSOMMABLES POUR FILTRATION ET DIALYSE,0.61,2.2
NB31,FILMS AUTORADIOGRAPHIQUES ET PHOTOGRAPHIQUES ET REACTIFS,0.65,0.55
NB32,HUILE A IMMERSION POUR MICROSCOPIE,0.97,0.45
NB33,CONSOMMABLES LAMPES ET AMPOULES DIVERSES (HORS MICROSCOPIE ET SPECTRO),0.62,0.35
NB34,"PRODUITS DE LAVAGE, DESINFECTION, STERILISATION",0.88,0.25
NB35,AUTRES CONSOMMABLES DE LABO HORS PLASTIQUE ET VERRE,0.58,1.8
NB41,"ROTORS RMN, TUBES RMN ET BOUCHONS ASSOCIES",1.0,0.9
NB42,VERRERIE SOUFFLEE (A FACON),1.0,1.0
NB43,"VAISSELLE DE LABORATOIRE REUTILISABLE EN VERRE, PLASTIQUE, PORCELAINE",1.0,0.7
NB44,CUVETTES EN VERRE ET QUARTZ POUR SPECTROMETRES,1.0,0.25
NB45,"RECIPIENTS, CREUSETS EN MATERIAUX SPECIAUX (HORS CIBLES)",1.0,0.25
NB51,PETIT MATERIEL DE PAILLASSE NON ELECTRIQUE COURANT,0.26,2.5
NB61,ELECTROCHIMIE DE PAILLASSE : MATERIEL ET CONSOMMABLES,0.28,0.12
NB62,ELECTROCHIMIE : POTENTIOSTATS / GALVANOSTATS ET ACCESSOIRES,0.28,0.08
NB71,"BALANCES, MATERIEL DE PESEE DE PAILLASSE ET ACCESSOIRES",0.42,0.1
NB72,AGITATEURS MAGNETIQUES CHAUFFANTS OU NON,0.37,0.12
NB73,"AGITATEURS, MELANGEURS ET ACCESSOIRES",0.37,0.09
NB74,"BROYAGE, FRACTIONNEMENT, TAMISAGE : MATERIEL ET ACCESSOIRES",0.39,0.11
NB75,POMPES (HORS VIDE VA.01) (POMPES OSMOTIQUES…),0.43,0.07
NB76,"CHAUFFAGE : FOURS SIMPLES, BRULEURS, PLAQUES, CHAUFFE-BALLONS,…",0.42,0.25
NB77,"THERMOSTATISATION ET SECHAGE : ETUVES, ENCEINTES, BAINS, DESSICATEURS…",0.39,0.2
NB78,MICROCENTRIFUGATION : MICROCENTRIFUGEUSES ET CYTOCENTRIFUGEUSES,0.42,0.08
NB79,CHIMIE ET BIOLOGIE : AUTRE MATERIEL ELECTRIQUE DE PAILLASSE COURANT,0.42,0.25
NB81,CENTRIFUGATION : CENTRIFUGEUSES ET ULTRACENTRIFUGEUSES,0.41,0.4
NB82,"CENTRIFUGATION : ACCESSOIRES (ROTORS, GODETS…)",0.37,0.12
NB83,"INCUBATION : INCUBATEURS, INCUBATEURS A CO2 ET ACCESSOIRES",0.41,0.25
NB84,"FROID : BANQUES DE SANG, CONGELATEURS, REFRIGERATEURS,…",0.41,0.15
NB85,"PURIFICATION DES SOLVANTS, ACIDES ET BASES : MATERIEL ET ACCESSOIRES",0.34,0.1
NB86,LAVAGE : MATERIEL ET ACCESSOIRES,0.34,0.2
NB87,STERILISATION ET DESINFECTION : STERILISATEURS ET ACCESSOIRES,0.34,0.15
NC01,ELECTROPHORESE SUR GEL ET TRANSFERT : PETIT MATERIEL ET ACCESSOIRES DEDIES,0.3,0.35
NC02,PURIFICATION DES BIOMOLECULES : AUTOMATES ET ACCESSOIRES DEDIES,0.27,0.25
NC03,PURIFICATION DES BIOMOLECULES : CONSOMMABLES DEDIES AUX AUTOMATES,0.26,0.4
NC04,EXTRACTION ET SEPARATION DES MOLECULES : EQUIPEMENT DE FLASH CHROMATOGRAPHIE,0.27,0.25
NC05,EXTRACTION ET SEPARATION DES MOLECULES : CONSOMMABLES POUR FLASH CHROMATOGRAPHIE,0.26,2.5
NC06,"SEPARATION DES MOLECULES : AUTRES EQUIPEMENTS (SFC, CPC, EXTRACTEURS…)",0.27,3.0
NC07,SEPARATION DES MOLECULES : CONSOMMABLES DEDIES AUX AUTRES EQUIPEMENTS,0.26,1.8
NC11,BIOMOL : IMAGEURS POUR GELS ET MEMBRANES ET ACCESSOIRES,0.27,0.4
NC12,BIOMOL : COMPTEURS DE RADIOACTIVITE (SIMPLE OU MULTI DETECTION),0.27,0.35
NC13,BIOMOL : SCANNERS (LECTEURS OPTIQUES) DE BIOPUCES,0.27,0.6
NC14,"BIOMOL : SCANNERS/IMAGEURS MULTIFONCTIONS (IN VITRO, GELS…)",0.27,0.55
NC15,BIOMOL : AUTOMATES D'HYBRIDATION IN SITU ET ACCESSOIRES,0.27,0.5
NC16,"BIOMOL : SEQUENCEURS, ANALYSEURS GENETIQUES ET ACCESSOIRES",0.27,0.7
NC17,BIOMOL : SEQUENCEURS HAUT DEBIT,0.27,0.8
NC21,BIOLOGIE MOLECULAIRE : THERMOCYCLEURS POUR PCR CONVENTIONELLE ET ACCESSOIRES,0.27,0.9
NC22,BIOLOGIE MOLECULAIRE : THERMOCYCLEURS POUR PCR QUANTITATIVE ET ACCESSOIRES,0.27,1.1
NC23,BIOLOGIE : AUTOMATES POUR LA SYNTHESE DES OLIGONUCLEOTIDES ET ACCESSOIRES,0.27,1.5
NC24,BIOLOGIE : AUTOMATES POUR LA SYNTHESE DES PEPTIDES ET ACCESSOIRES,0.27,2.2
NC25,CHIMIE : APPAREILS ET REACTEURS POUR LA CHIMIE ORGANIQUE,0.27,0.8
NC31,BIOLOGIE : STATION D'HYBRIDATION DE BIOPUCES (MICROARRAYS),0.27,0.55
NC32,CHIMIE ET BIOLOGIE : STATIONS DE PIPETAGE AUTOMATISEES,0.27,0.45
NC33,CHIMIE ET BIOLOGIE : POINTES (CONES) POUR ROBOTS DE PIPETAGE,0.3,0.35
NC34,CHIMIE ET BIOLOGIE : AUTOMATES DE SCREENING HAUT DEBIT,0.27,0.25
NC35,CHIMIE ET BIOLOGIE : AUTOMATES D'ELECTROPHYSIOLOGIE,0.27,1.8
NC41,CULTURE CELLULAIRE : FERMENTEURS ET BIOREACTEURS,0.27,0.9
NC51,"MATERIEL DE MICROMANIPULATION DES CELLULES, ACCESSOIRES ET CONSOMMABLES DEDIES",0.3,2.5
NC52,BIOLOGIE CELLULAIRE : MATERIEL DE DETECTION INTRACELLULAIRE,0.27,0.6
NC53,DETECTION INTRACELLULAIRE : CONSOMMABLES DEDIES AUX INSTRUMENTS,0.3,0.3
NC54,CYTOMETRIE EN FLUX ET TRI CELLULAIRE : MATERIEL ET ACCESSOIRES,0.27,0.25
NC55,CYTOMETRIE EN FLUX ET TRI CELLULAIRE : CONSOMMABLES DEDIES AUX INSTRUMENTS,0.26,0.35
NC56,COMPTAGE CELLULAIRE : MATERIEL ET ACCESSOIRES,0.27,0.3
NC57,COMPTAGE CELLULAIRE : CONSOMMABLES DEDIES AUX INSTRUMENTS,0.26,0.25
NC58,ELECTROPHYSIOLOGIE CONVENTIONNELLE (PATCH CLAMP) : MATERIEL ET ACCESSOIRES,0.27,0.15
NC59,ELECTROPHYSIOLOGIE CONVENTIONNELLE : CONSOMMABLES DEDIES AUX INSTRUMENTS,0.26,0.2
NC61,GENIE CHIMIQUE : REACTEURS,0.34,0.12
NC62,GENIE CHIMIQUE : EQUIPEMENTS DE PURIFICATION,0.34,0.08
NC63,GENIE CHIMIQUE : AUTRES EQUIPEMENTS,0.34,0.1
NC64,GENIE CHIMIQUE : ACCESSOIRES ET CONSOMMABLES,0.28,0.05
NC71,"CHIMIE : APPAREILS D'ANALYSE ELEMENTAIRE (CHNS-O, AOX, TN, TS,... )",0.24,0.1
NC72,CHIMIE : ANALYSEURS DE MERCURE,0.24,0.12
NC73,"CHIMIE : APPAREILS DE SPECIATION (DU MERCURE,…)",0.24,0.09
NC74,"CHIMIE : ANALYSEURS DES SELS NUTRITIFS (SILICATE, PHOSPHATE, NITRATE,...)",0.24,0.11
NC75,CHIMIE : AUTRES INSTRUMENTS D'ANALYSE DE L'EAU,0.24,0.07
NC76,CHIMIE : AUTRES INSTRUMENTS D'ANALYSE DE L'ENVIRONNEMENT,0.24,0.25
NC81,CHIMIE ET PHYSICO-CHIMIE : EQUIPEMENTS DE TESTS PHARMACEUTIQUES,0.27,0.4
ND01,MICROPIPETTES MONO ET MULTICANALES : MAINTENANCE - REPARATION,0.22,0.35
ND02,VERRERIE SOUFFLEE : REPARATION,0.64,0.25
ND03,BALANCES POUR LA CHIMIE ET BIOLOGIE : MAINTENANCE - REPARATION,0.22,0.4
ND04,CENTRIFUGEUSES : MAINTENANCE - REPARATION,0.22,0.25
ND05,AUTRE MATERIEL DE PAILLASSE COURANT : MAINTENANCE - REPARATION,0.22,2.5
ND11,CHAMBRES ET AUTRES MACHINES THERMIQUES : MAINTENANCE - REPARATION,0.22,0.4
ND12,INCUBATEURS ET INCUBATEURS A CO2 : MAINTENANCE - REPARATION,0.22,0.35
ND13,STERILISATEURS : MAINTENANCE - REPARATION,0.22,0.6
ND14,AUTRE MATERIEL COURANT DE LABO : REPARATION – MAINTENANCE - CALIBRATION,0.22,0.55
ND21,MATERIEL DE SEPARATION/PURIFICATION DES MOLECULES : MAINTENANCE - REPARATION,0.22,0.9
ND31,MATERIEL DE DETECTION POUR LA BIO. MOL. : MAINTENANCE REPARATION,0.22,0.55
ND32,SEQUENCEURS ET ANALYSEURS GENETIQUES : MAINTENANCE - REPARATION,0.22,0.45
ND41,THERMOCYCLEURS ET AUTOMATES DE SYNTHESE : MAINTENANCE - REPARATION,0.22,0.9
ND51,AUTRES ROBOTS ET AUTOMATES : MAINTENANCE - REPARATION,0.22,2.5
ND52,"CYTOMETRIE, COMPTAGE ET TRI CELLULAIRE : MAINTENANCE - REPARATION",0.22,0.6
ND53,AUTRES EQUIPEMENTS DE BIOLOGIE CELLULAIRE : MAINTENANCE - REPARATION,0.22,0.3
ND54,EQUIPEMENTS DE GENIE CHIMIQUE : REPARATION ET MAINTENANCE,0.22,0.25
ND55,"AUTRE MATERIEL SPECIFIQ. DE CHIMIE ET PHYSICO-CHIMIE : MAINTENANCE, REPARATION",0.22,0.35
NE01,BIOLOGIE : SERVICES DE SEQUENCAGE BAS DEBIT ET SERVICES CONNEXES,0.21,0.35
NE02,BIOLOGIE : SERVICES DE SEQUENCAGE HAUT DEBIT ET SERVICES CONNEXES,0.21,0.25
NE03,BIOLOGIE : SERVICES DE GENOTYPAGE ET SERVICES CONNEXES,0.21,0.4
NE04,BIOLOGIE : AUTRES SERVICES D'ANALYSE GENETIQUE,0.21,0.25
NE11,BIOLOGIE CELLULAIRE : SERVICES DE CYTOMETRIE EN FLUX ET DE TRI CELLULAIRE,0.21,0.4
NE12,BIOLOGIE CELLULAIRE : AUTRES SERVICES,0.21,0.35
NE21,BIOLOGIE ET CHIMIE : SERVICES D'ANALYSES PAR CHROMATOGRAPHIE (HPLC…),0.21,0.9
NE22,BIOLOGIE : AUTRES SERVICES D'ANALYSES BIOLOGIQUES ET BIOCHIMIQUES,0.21,1.1
NE23,CHIMIE : AUTRES SERVICES D'ANALYSE CHIMIQUE,0.21,1.5
NE24,GENIE CHIMIQUE : SERVICES D'ETUDES DE PROCEDES,0.21,2.2
NE25,CHIMIE ET BIOLOGIE : AUTRES SERVICES,0.21,0.8
OA01,OPTO : LENTILLES ET SYSTEMES DE LENTILLES,0.3,0.35
OA02,OPTO : MIROIRS,0.3,0.25
OA03,"OPTO : RESEAUX (DIFFRACTION, COMPRESSION,…)",0.3,0.4
OA04,"OPTO : LAMES, FENETRES ET CRISTAUX OPTIQUES",0.3,0.25
OA05,"OPTO : FILTRES OPTIQUES, POLARISATEURS, CUBES ET PRISMES",0.3,2.5
OA06,OPTO : FIBRES OPTIQUES,0.3,3.0
OA07,OPTO : AUTRES COMPOSANTS OPTIQUES PASSIFS,0.3,1.8
OA08,OPTO : MASQUES ET MATERIEL CORONOGRAPHIQUE,0.3,1.2
OA11,OPTO : CAMERAS UV-VISIBLE,0.58,0.4
OA12,OPTO : CAMERAS INFRA-ROUGE,0.58,0.35
OA13,OPTO : CAMERAS A RAYONS X,0.58,0.6
OA14,OPTO : OPTIQUE POUR CAMERAS,0.58,0.55
OA15,OPTO : DETECTEURS ET AUTRE MATERIEL D'OPTOELECTRONIQUE (HORS CAMERAS),0.32,0.5
OA21,OPTO : MICROPOSITIONNEMENT ET OPTOMECANIQUE,0.39,0.9
OA22,"OPTO : BANCS, TABLES OPTIQUES, ET ACCESSOIRES",0.39,1.1
OA23,OPTOMECANIQUE DE PRECISION,,1.5
OA24,MONTURES D'OPTIQUES FIXES ET DYNAMIQUES,,2.2
OA25,QUINCAILLERIE DE QUALITE OPTIQUE,,0.8
OA31,OPTO : LASERS A GAZ,0.3,0.55
OA32,OPTO : LASERS A SOLIDE,0.3,0.45
OA33,OPTO : LASERS A SEMI-CONDUCTEURS (DIODES LASERS),0.3,0.35
OA34,OPTO : LASERS A VAPEUR METALLIQUE,0.3,0.25
OA35,OPTO : LASERS A FIBRE,0.3,1.8
OA36,OPTO : LASERS A COLORANTS ORGANIQUES (DYE LASERS),0.3,0.6
OA37,"OPTO : AUTRES TYPES DE LASERS (CHIMIQUES,…)",0.3,0.7
OA38,OPTO : LAMPES ET AUTRES SOURCES LUMINEUSES (LAMPES FLASH OU CONTINUE...),0.3,0.5
OA39,"OPTO : ACCESSOIRES ET CONSOMMABLES (COLORANTS,…) POUR LASERS",0.3,0.4
OA41,OPTO : OUTILLAGE POUR L'OPTIQUE,0.37,0.9
OA42,OPTO : INSTRUMENTS DE METROLOGIE DES FAISCEAUX LASERS,0.31,1.0
OA43,OPTO : PYROMETRES OPTIQUES,0.31,0.7
OA44,"OPTO : AUTRES INSTRUMENTS DE METROLOGIE OPTIQUE (REFLECTOMETRES,…)",0.31,0.25
OA45,"OPTO : TELESCOPES, LUNETTES ASTRONOMIQUES, JUMELLES ET ACCESSOIRES",0.3,0.25
OA51,SYSTEMES OPTIQUES OU OPTO ELECTRONIQUES COMPLEXES,0.3,2.5
OB11,OPTO : REPARATION MAINTENANCE DES LASERS,0.22,0.4
OB12,OPTO : REPARATION MAINTENANCE DES CAMERAS,0.22,0.35
OB13,OPTO : REPARATION MAINTENANCE DES AUTRES EQUIPEMENTS D'OPTIQUE,0.22,0.6
OC01,"OPTO : SERVICES D'USINAGE DES COMPOSANTS OPTIQUES (POLISSAGE,...)",0.21,0.35
OC02,OPTO : SERVICES DE TRAITEMENT DE SURFACE DES COMPOSANTS OPTIQUES,0.21,0.25
OC03,OPTO : SERVICES DE CONTROLE DES COMPOSANTS OPTIQUES,0.21,0.4
OC04,OPTO : SERVICES D'ETUDES ET CONCEPTION EN OPTIQUE,0.21,0.25
OC05,OPTO : SERVICES DE TESTS EN OPTIQUE,0.21,2.5
PA01,RADIOACTIVITE : SOURCES RADIOACTIVES,0.27,0.35
PA02,RADIOACTIVITE : INSTRUMENTS DE MESURE (HORS DETECTION EN BIOLOGIE),0.27,0.25
PA11,PRODUCTION DE PARTICULES : CANONS A ELECTRONS ET CANONS A IONS,0.31,0.4
PA12,PRODUCTION DE PARTICULES : ACCESSOIRES ET PIECES DETACHEES DE CANONS,0.35,0.35
PA21,MATERIEL POUR L'ACCELERATION DES PARTICULES,0.27,0.9
PA22,MATERIEL POUR LA CONVERGENCE DES FAISCEAUX DE PARTICULES,0.27,1.1
PA23,MATERIEL DE MESURES DE L'ACCELERATION DES PARTICULES,0.27,1.5
PB01,"INSTRUMENTS DE CALORIMETRIE, ANALYSE THERMIQUE ET THERMOMECANIQUE",0.24,0.35
PB02,"INSTRUMENTS DE METROLOGIE MECANIQUE DU SOLIDE (RHEOLOGIE,…) ET ACCESSOIRES",0.24,0.25
PB03,INSTRUMENTS DE CARACTERISATION MECANIQUE DES SURFACES ET ACCESSOIRES,0.34,0.4
PB04,GRANULOMETRES LASERS ET ACCESSOIRES,0.24,0.25
PB05,ZETAMETRES ET ACCESSOIRES,0.24,2.5
PB06,AUTRES APPAREILS D'ANALYSE DES PARTICULES SOLIDES ET ACCESSOIRES,0.24,3.0
PB07,AUTRES INSTRUMENTS POUR LA CARACTERISATION DES SOLIDES  ET ACCESSOIRES,0.24,1.8
PB11,APPAREILS DE MESURE / CAPTEURS DE PRESSION,0.28,0.4
PB12,APPAREILS DE MESURE / CAPTEURS DE TEMPERATURE (HORS CRYOGENIE),0.28,0.35
PB13,APPAREILS DE MESURE / CAPTEURS DE VITESSE / DEBIT,0.28,0.6
PB21,"SYSTEMES MAGNETIQUES (AIMANTS PERMANENTS,…)",0.24,0.9
PB22,INSTRUMENTATION MAGNETIQUE,0.24,1.1
PB23,SYSTEMES CRYOMAGNETIQUES (HORS RMN),0.24,1.5
PB24,SYSTEMES DE MESURES CRYOGENIQUES,0.24,2.2
PB25,MATERIAUX SUPRACONDUCTEURS,0.24,0.8
PB31,SYSTEMES DE MESURE A SONDE DE LANGMUIR,0.24,0.55
PB32,"BALANCES SPECIFIQUES (BALANCES D'ADSORPTION,…)",0.24,0.45
PB33,"APPAREILS DE MESURE DE LA CHARGE ELECTRIQUE (ELECTROMETRES,…)",0.24,0.35
PB34,APPAREILS DE MESURES ACOUSTIQUES,0.24,0.25
PB35,APPAREILS DE MESURES PHYSIQUES MULTIPLES,0.24,1.8
PB36,APPAREILS POUR AUTRES MESURES PHYSIQUES,0.24,0.6
PB41,PHYSICO-CHIMIE : FOURS SPECIAUX HORS TECHNIQUES SOUS VIDE,0.41,0.9
PB42,MATERIEL DE CRISTALLOGENESE,0.41,1.0
PB43,TREMPE SUR ROUE (MELT SPINNER),0.41,0.7
PB44,PHYSIQUE : AUTRES APPAREILS SPECIAUX,0.31,0.25
PB51,GROUPES FRIGORIFIQUES,0.78,2.5
PC01,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE MESURE DE LA RADIOACTIVITE,0.22,0.35
PC02,PRODUCTION ET ACCELERATION DES PARTICULES : REPARATION ET MAINTENANCE,0.22,0.25
PC11,REPARATION ET MAINTENANCE DES APPAREILS DE CARACTERISATION DES MATERIAUX,0.22,0.4
PC21,REPARATION ET MAINTENANCE DES APPAREILS DE MESURES PHYSIQUES COURANTS,0.22,0.9
PC22,REPARATION ET MAINTENANCE DES AUTRES APPAREILS DE MESURES PHYSIQUES,0.22,1.1
PC23,PHYSIQUE : REPARATION ET MAINTENANCE DES AUTRES APPAREILS SPECIAUX,0.22,1.5
PC31,MAINTENANCE DES GROUPES FRIGORIFIQUES,0.22,0.55
PD01,MESURE DE LA RADIOACTIVITE : SERVICES DE DATATION (AU CARBONE 14…),0.23,0.35
PD02,PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE : AUTRES SERVICES,0.23,0.25
PD11,MESURES PHYSIQUES : SERVICES DE CARACTERISATION DES MATERIAUX,0.2,0.4
QA01,EXPERIMENTATION VEGETALE : PLANTES ET PLANTS,1.7,0.35
QA02,EXPERIMENTATION VEGETALE : SEMENCES ET TUBERCULES,1.7,0.25
QA03,EXPERIMENTATION VEGETALE : CHAMPIGNONS,1.7,0.4
QA04,EXPERIMENTATION VEGETALE : VEGETAUX MARINS,1.7,0.25
QA05,EXPERIMENTATION VEGETALE : AUTRES VEGETAUX,1.7,2.5
QA11,SUBSTRATS DE CULTURE D'ORIGINE NATURELLE OU ARTIFICIELLE,0.61,0.4
QA12,FERTILISANTS POUR VEGETAUX TYPE ENGRAIS,1.3,0.35
QA13,NUTRIMENTS ADDITIONNELS POUR VEGETAUX ET FERTILISANTS DES SOLS,0.89,0.6
QA21,PRODUITS PHYTOSANITAIRES CONTRE LES PATHOGENES VEGETAUX ET PLANTES CONCURRENTES,0.89,0.9
QA22,PRODUITS PHYTOSANITAIRES CONTRE LES PATHOGENES CRYPTOGAMIQUES,0.89,1.1
QA23,PRODUITS PHYTOSANITAIRES INSECTICIDES ET A USAGE REPULSIF,0.89,1.5
QA24,AUTRES MOYENS DE PROTECTION OU DE CONSERVATION DES VEGETAUX,0.89,2.2
QB01,EXPERIMENTATION VEGETALE : PETITES FOURNITURES ET CONSOMMABLES COURANTS,0.38,0.35
QB02,EXPERIMENTATION VEGETALE : PETITES FOURNITURES ET CONSOMMABLES POUR SERRES,0.38,0.25
QB03,PETITES FOURNITURES HORS SERRES POUR LA PROTECTION DES ESPACES CULTIVES,0.38,0.4
QB04,EXPERIMENTATION VEGETALE : AUTRES PETITES FOURNITURES ET CONSOMMABLES,0.38,0.25
QB11,EXPERIMENTATION VEGETALE : SERRES,0.52,0.4
QB12,MATERIEL ET ACCESSOIRES DESTINES A L'EXPERIMENTATION VEGETALE SOUS SERRE,0.49,0.35
QB21,ENGINS DE TRACTION AGRICOLE,0.49,0.9
QB22,ENGINS TRACTES ET EQUIPEMENTS DE MANUTENTION AGRICOLE,0.49,1.1
QB23,EQUIPEMENTS TRACTES ET MACHINES AUTOMOTRICES POUR TRAVAIL DES SOLS,0.49,1.5
QB31,EQUIPEMENTS TRACTES ET MACHINES POUR LES SEMIS ET PLANTATIONS,0.49,0.55
QB32,EQUIPEMENTS D'IRRIGATION DES CULTURES,0.49,0.45
QB33,EQUIPEMENTS DE MESURES HYDROMETRIQUES ET D'OPTIMISATION DE L'IRRIGATION,0.49,0.35
QB34,"MATERIEL POUR LA FERTILIS., LA PROTECT. ET L'ENTRET. DES CULTURES",0.49,0.25
QB35,MACHINES POUR LA RECOLTE DES FOURRAGES CONSERVES SECS,0.49,1.8
QB36,MACHINES POUR LA RECOLTE DES FOURRAGES VERTS DESTINES A L'ENSILAGE,0.49,0.6
QB37,"MACHINES POUR LA RECOLTE DES CEREALES, DU COLZA ET DES PROTEAGINEUX",0.49,0.7
QB38,MACHINES POUR LA RECOLTE DES TUBERCULES,0.49,0.5
QB39,EQUIPEMENTS DE STOCKAGE ET DE CONSERVATION DES ALIMENTS CULTIVES,0.49,0.4
QB41,EQUIPEMENTS ET MATERIEL SPECIFIQUES POUR LA VITICULTURE EXPERIMENTALE,0.45,0.9
QB42,EQUIPEMENTS ET MATERIEL SPECIFIQUES POUR LA SYLVICULTURE ET L'ARBORICULTURE,0.45,1.0
QB43,"MATERIEL DE COUPE COMMUN A LA VITICULTURE, LA SYLVICULTURE ET L'ARBORICULTURE",0.45,0.7
QB51,MATERIEL DESTINE A L'EXPERIMENTATION AGRONOMIQUE,0.49,2.5
QC01,REPARATION ET MAINTENANCE DU MATERIEL D'EXPERIMENTATION VEGETALE,0.24,0.35
QD01,EXPERIMENTATION VEGETALE : SERVICES D'EXPERTISE DES SOLS,0.16,0.35
QD02,SERVICES D'EXPERTISE BOTANIQUE,0.16,0.25
QD03,SERVICES D'ENTRETIEN DES SOLS ET DES CULTURES EXPERIMENTALES,0.53,0.4
QD04,SERVICES DE RECOLTE ET DE CONDITIONNEMENT DES PRODUITS VEGETAUX,0.53,0.25
QD05,AUTRES SERVICES CONNEXES AUX CULTURES EXPERIMENTALES,0.53,2.5
RA01,METAUX (MATERIAUX A USINER ET PIECES SUR CATALOGUE),1.3,0.35
RA02,METAUX NOBLES (MATERIAUX A USINER ET PIECES SUR CATALOGUE),1.4,0.25
RA03,PLASTIQUES (MATERIAUX A USINER ET PIECES SUR CATALOGUE),1.3,0.4
RA04,CERAMIQUES  (MATERIAUX A USINER ET PIECES SUR CATALOGUE),1.1,0.25
RA05,COMPOSITES  (MATERIAUX ET PIECES SUR CATALOGUE),1.4,2.5
RA06,MATERIAUX ORGANIQUES AUTRES QUE PLASTIQUES  (MATERIAUX ET PIECES SUR CATALOGUE),1.0,3.0
RA11,MACHINES-OUTILS A COMMANDE NUMERIQUE,0.5,0.4
RA12,ACCESSOIRES POUR MACHINES-OUTILS A COMMANDE NUMERIQUE,0.5,0.35
RA13,MACHINES-OUTILS CONVENTIONNELLES,0.5,0.6
RA14,ACCESSOIRES POUR MACHINES-OUTILS CONVENTIONNELLES,0.5,0.55
RA15,CONSOMMABLES POUR MACHINES-OUTILS (CN ET CONVENTIONNELLES),0.47,0.5
RA16,OUTILLAGE D'ATELIER NON PORTATIF,0.49,0.7
RA17,CONSOMMABLES POUR OUTILLAGE D'ATELIER NON PORTATIF,0.45,0.8
RA18,"MACHINES 3D (IMPRIMANTES et SCANERS 3D,…) ET ACCESSOIRES",0.34,0.4
RA19,CONSOMMABLES POUR MACHINES 3D,1.0,2.8
RA21,OUTILS ELECTROPORTATIFS ET ACCESSOIRES,0.58,0.9
RA22,OUTILS A MAIN NON ELECTROPORTATIFS,0.52,1.1
RA23,QUINCAILLERIE - AUTRES FOURNITURES D'ATELIER DIVERSES,0.44,1.5
RA31,MOBILIER D'ATELIER,0.58,0.55
RA32,RANGEMENTS D'ATELIER,0.58,0.45
RA33,AMENAGEMENTS D'ATELIER,0.58,0.35
RA41,PONT ROULANTS ET CHARIOTS ELEVATEURS (HORS BATIMENTS),0.44,0.9
RA42,AUTRES EQUIPEMENTS MECANIQUES SPECIAUX,0.44,1.0
RB01,AUTOMATIQUE : MAQUETTES DE MISE EN SITUATION OU DE PROTOTYPAGE,0.44,0.35
RB02,AUTOMATIQUE : ELEMENTS DE SYSTEME ELECTRO-MECANIQUE,0.44,0.25
RB03,AUTOMATIQUE : ELEMENTS DE CONTRÔLE COMMANDE,0.44,0.4
RC01,REPARATION ET MAINTENANCE DES MACHINES ET OUTILS D'ATELIERS,0.22,0.35
RC02,REPARATION ET MAINTENANCE DES PONTS ROULANTS ET CHARIOTS ELEVATEURS,0.22,0.25
RC03,REPARATION ET MAINTENANCE DES AUTRES GROS MATERIELS D'ATELIER,0.22,0.4
RC11,AUTOMATIQUE : REPARATION ET MAINTENANCE DES SYSTEMES ELECTRO-MECANIQUES,0.22,0.4
RC12,AUTOMATIQUE : REPARATION ET MAINTENANCE DES ELEMENTS DE CONTRÔLE COMMANDE,0.22,0.35
RC13,AUTOMATIQUE : REPARATION ET MAINTENANCE DE L'INSTRUMENTATION SPECIFIQUE,0.22,0.6
